NOC,Gold,Silver,Bronze,Total
USA,40,44,42,126
CHN,40,27,24,91
AUS,18,19,16,53
FRA,16,26,22,64
GBR,14,22,29,65
KOR,13,9,10,32
JPN,20,12,13,45
ITA,12,13,15,40
NED,15,7,12,34
GER,12,13,8,33
CAN,9,7,11,27
NZL,10,7,3,20
IRL,4,0,3,7
ROU,3,4,1,8
HUN,6,7,6,19
SWE,4,4,3,11
UKR,3,5,4,12
BRA,3,7,10,20
ESP,5,4,9,18
CRO,2,2,3,7
CUB,2,1,6,9
AZE,2,2,3,7
BEL,3,1,6,10
PHI,2,0,2,4
HKG,2,0,2,4
SRB,3,1,1,5
KAZ,1,3,3,7
JAM,1,3,2,6
AIN,1,3,1,5
SUI,1,2,5,8
THA,1,3,2,6
GEO,3,3,1,7
DEN,2,2,5,9
GRE,1,1,6,8
POL,1,4,5,10
KEN,4,2,5,11
RSA,1,3,2,6
ARG,1,1,1,3
UGA,1,1,0,2
CHI,1,1,0,2
LCA,1,1,0,2
ECU,1,2,2,5
TPE,2,0,5,7
UZB,8,2,3,13
IRI,3,6,3,12
INA,2,0,1,3
NOR,4,1,3,8
CZE,3,0,2,5
AUT,2,0,3,5
GUA,1,0,1,2
MAR,1,0,1,2
ALG,2,0,1,3
DMA,1,0,0,1
BRN,2,1,1,4
SLO,2,1,0,3
PRK,0,2,4,6
MEX,0,3,2,5
ARM,0,3,1,4
ETH,1,3,0,4
TUR,0,1,3,4
KGZ,0,2,4,6
LTU,0,2,2,4
TUN,1,1,1,3
KOS,0,1,1,2
FIJ,0,1,0,1
COL,0,3,0,3
MGL,0,1,0,1
CYP,0,1,0,1
TJK,0,0,3,3
IND,0,1,5,6
DOM,1,0,2,3
MAS,0,0,2,2
MDA,0,1,3,4
EGY,1,1,1,3
POR,1,2,1,4
SVK,0,0,1,1
GRN,0,0,2,2
PER,0,0,1,1
CPV,0,0,1,1
ZAM,0,0,1,1
EIR,4,0,3,7
ROM,3,4,2,9
BUL,3,1,3,7
ISR,1,5,1,7
BOT,1,1,0,2
PAK,1,0,0,1
TKE,0,3,5,8
JOR,0,1,0,1
PAN,0,1,0,1
ALB,0,0,2,2
PUR,0,0,2,2
CIV,0,0,1,1
EOR,0,0,1,1
QAT,0,0,1,1
SGP,0,0,1,1
