NOC,Gold,Silver,Bronze,Total,Year
RUS,11,8,4,23,1994
NOR,10,11,5,26,1994
GER,9,7,8,24,1994
ITA,7,5,8,20,1994
USA,6,5,2,13,1994
KOR,4,1,1,6,1994
CAN,3,6,4,13,1994
SUI,3,4,2,9,1994
AUT,2,3,4,9,1994
SWE,2,1,0,3,1994
JPN,1,2,2,5,1994
KAZ,1,2,0,3,1994
UKR,1,0,1,2,1994
UZB,1,0,0,1,1994
BLR,0,2,0,2,1994
FIN,0,1,5,6,1994
FRA,0,1,4,5,1994
NED,0,1,3,4,1994
CHN,0,1,2,3,1994
SLO,0,0,3,3,1994
GBR,0,0,2,2,1994
AUS,0,0,1,1,1994
USA,44,32,25,101,1996
RUS,26,21,16,63,1996
GER,20,18,27,65,1996
CHN,16,22,12,50,1996
FRA,15,7,15,37,1996
ITA,13,10,12,35,1996
AUS,9,9,23,41,1996
CUB,9,8,8,25,1996
UKR,9,2,12,23,1996
KOR,7,15,5,27,1996
POL,7,5,5,17,1996
HUN,7,4,10,21,1996
ESP,5,6,6,17,1996
ROU,4,7,9,20,1996
NED,4,5,10,19,1996
GRE,4,4,0,8,1996
CZE,4,3,4,11,1996
SUI,4,3,0,7,1996
DEN,4,1,1,6,1996
TUR,4,1,1,6,1996
CAN,3,11,8,22,1996
BUL,3,7,5,15,1996
JPN,3,6,5,14,1996
KAZ,3,4,4,11,1996
BRA,3,3,9,15,1996
NZL,3,2,1,6,1996
RSA,3,1,1,5,1996
IRL,3,0,1,4,1996
SWE,2,4,2,8,1996
NOR,2,2,3,7,1996
BEL,2,2,2,6,1996
NGR,2,1,3,6,1996
PRK,2,1,2,5,1996
ETH,2,0,1,3,1996
ALG,2,0,1,3,1996
GBR,1,8,6,15,1996
BLR,1,6,8,15,1996
KEN,1,4,3,8,1996
JAM,1,3,2,6,1996
FIN,1,2,1,4,1996
YUG,1,1,2,4,1996
INA,1,1,2,4,1996
SVK,1,1,1,3,1996
IRI,1,1,1,3,1996
CRO,1,1,0,2,1996
ARM,1,1,0,2,1996
POR,1,0,1,2,1996
THA,1,0,1,2,1996
HKG,1,0,0,1,1996
CRC,1,0,0,1,1996
BDI,1,0,0,1,1996
SYR,1,0,0,1,1996
ECU,1,0,0,1,1996
ARG,0,2,1,3,1996
SLO,0,2,0,2,1996
NAM,0,2,0,2,1996
AUT,0,1,2,3,1996
UZB,0,1,1,2,1996
MAS,0,1,1,2,1996
MDA,0,1,1,2,1996
PHI,0,1,0,1,1996
BAH,0,1,0,1,1996
ZAM,0,1,0,1,1996
AZE,0,1,0,1,1996
LAT,0,1,0,1,1996
TPE,0,1,0,1,1996
TGA,0,1,0,1,1996
GEO,0,0,2,2,1996
TTO,0,0,2,2,1996
MAR,0,0,2,2,1996
TUN,0,0,1,1,1996
UGA,0,0,1,1,1996
LTU,0,0,1,1,1996
MEX,0,0,1,1,1996
MGL,0,0,1,1,1996
IND,0,0,1,1,1996
MOZ,0,0,1,1,1996
PUR,0,0,1,1,1996
GER,12,9,8,29,1998
NOR,10,10,5,25,1998
RUS,9,6,3,18,1998
CAN,6,5,4,15,1998
USA,6,3,4,13,1998
NED,5,4,2,11,1998
JPN,5,1,4,10,1998
AUT,3,5,9,17,1998
KOR,3,1,2,6,1998
ITA,2,6,2,10,1998
FIN,2,4,6,12,1998
SUI,2,2,3,7,1998
FRA,2,1,5,8,1998
CZE,1,1,1,3,1998
BUL,1,0,0,1,1998
CHN,0,6,2,8,1998
SWE,0,2,1,3,1998
DEN,0,1,0,1,1998
UKR,0,1,0,1,1998
KAZ,0,0,2,2,1998
BLR,0,0,2,2,1998
